title,content
Summary of today's events,"And with that, we’ll be closing the blog for today. Thanks to you for reading, and to Amy Remeikis for running it earlier. What happened today: Victorian premier Daniel Andrews announced a new $4,957 on-the-spot fine, its largest fine, for those breaching isolation rules, as well as a permit system for essential workers. He also said police had been given “extraordinary powers” and that an additional 500 Australian Defence Force personnel would be sent to Melbourne. And people in self-isolation have been banned from leaving their home to exercise, after 800 people out of 3,000 could not be found at home during spot-checks. The federal aged care minister, Richard Colbeck, refused to publicly release a list of aged care homes in Victoria battling outbreaks due to “reputational issues” for the facilities. Victoria recorded 439 new cases and 11 deaths. NSW recorded 12 new cases and South Australia recorded one. Queensland premier Annastacia Palaszczuk announced she would remove all hotel q"
Queensland to remove hotel quarantine exemptions,"Queensland premier Annastacia Palaszczuk has announced she will remove all hotel quarantine exemptions that exist for diplomats, effective from Wednesday. Earlier, Palaszczuk had said she would wait to raise the issue at national cabinet on Friday, but she has just told reporters she could not wait. The decision comes after a man in his 20s with Covid-19 was allowed to enter Queensland, and go to the Sunshine Coast, using diplomatic paperwork that meant he could avoid two weeks’ isolation. It has been revealed that the man was not a consular staff member, as initially reported, but is a private security contractor. AAP reported Palaszczuk as saying: We are now in a situation where we need these loopholes closed. It is not too much to be asking people who are returning from overseas to do the mandatory quarantining. The ban would come in to effect from Wednesday, it reported. The man flew from Kabul to Sydney, then onto the Sunshine Coast on Friday, with an exemption provided by the NSW"
Victoria reports 11 deaths and 439 new infections – as it happened,"With less than 48 hours until childcare attendance rates are set to plummet in Melbourne, providers say they need urgent clarity and support from the state and federal governments. From Thursday, only parents from “defined industries” will be allowed to send their children to childcare – but there has been no word on which families will qualify. Matilda Boseley has the story:"
Liberal senator says she has experienced issues with Victorian contact tracing,"The Victorian Liberal senator Sarah Henderson says she has personally experienced issues with the state’s contact tracing efforts. Today marks her 10th day of self-isolation at home because she had been in contact with a confirmed Covid-19 case. In an interview with Sky News this afternoon, Henderson said she had received a message the other day that contained the wrong date. She also said she had received two phone calls within the space of half an hour from contract tracers, indicating that there was a problem with the system that the first call may not have been logged. Henderson said, however, she had recently had a knock on the door from the state health department and Australian defence force, which was “very impressive to see”. “It’s absolutely imperative that Victorians do the right thing.”
Henderson said she had raised the issue of people in self-isolation being allowed out to exercise with her contact tracing team last week. Henderson said it was a case of confusing messaging"
Paul Keating says young people worse off than previous generations,"Earlier today, former prime minister Paul Keating had some choice words on the government’s decision to allow people to access their superannuation during the pandemic. He made the point that young people were already in a worse situation than previous generations because they had not had the benefit of a pay rise since 2013, were saddled with Hecs debts and had to pay GST and rent. Keating said: They lose all the compounding – the $20,000 would have multiplied itself by five and a half or six times over their lifetime, so it’s been a very poor choice to them. Now their pool of savings has been lost to them when in fact it should have been public support from the get-go."
Morrison to speak with PNG PM over Covid response,"Scott Morrison says he and his counterpart in Papua New Guinea will hold talks tomorrow to discuss the impacts of Covid-19 on the region. The talks come amid growing concerns about the potential for the Covid-19 outbreak to overwhelm PNG’s health system. The Australian government announced last week that it was sending an Ausmat medical team to PNG to help with the response. As of last week, PNG had reported 63 cases, with 52 of those – more than 80% – had been in the previous two weeks. In a statement issued a short time ago, Morrison said he would hold a virtual summit tomorrow with the prime minister of PNG, James Marape.
Morrison said the countries supported each other “as a family”, citing PNG’s provision of help with Australia’s bushfire recovery and Australia’s ongoing support to help PNG “overcome the shared challenge of the Covid-19 global pandemic”. Discussions during the virtual summit will focus on the impacts of Covid-19 on our region and strategies for economic recovery. "
Summary of today's events,"And with that, we’ll be closing the blog for today. Thanks to you for reading, and to Amy Remeikis for running it earlier. What happened today: Victorian premier Daniel Andrews announced a new $4,957 on-the-spot fine, its largest fine, for those breaching isolation rules, as well as a permit system for essential workers. He also said police had been given “extraordinary powers” and that an additional 500 Australian Defence Force personnel would be sent to Melbourne. And people in self-isolation have been banned from leaving their home to exercise, after 800 people out of 3,000 could not be found at home during spot-checks. The federal aged care minister, Richard Colbeck, refused to publicly release a list of aged care homes in Victoria battling outbreaks due to “reputational issues” for the facilities. Victoria recorded 439 new cases and 11 deaths. NSW recorded 12 new cases and South Australia recorded one. Queensland premier Annastacia Palaszczuk announced she would remove all hotel q"
Queensland to remove hotel quarantine exemptions,"Queensland premier Annastacia Palaszczuk has announced she will remove all hotel quarantine exemptions that exist for diplomats, effective from Wednesday. Earlier, Palaszczuk had said she would wait to raise the issue at national cabinet on Friday, but she has just told reporters she could not wait. The decision comes after a man in his 20s with Covid-19 was allowed to enter Queensland, and go to the Sunshine Coast, using diplomatic paperwork that meant he could avoid two weeks’ isolation. It has been revealed that the man was not a consular staff member, as initially reported, but is a private security contractor. AAP reported Palaszczuk as saying: We are now in a situation where we need these loopholes closed. It is not too much to be asking people who are returning from overseas to do the mandatory quarantining. The ban would come in to effect from Wednesday, it reported. The man flew from Kabul to Sydney, then onto the Sunshine Coast on Friday, with an exemption provided by the NSW"
Victoria reports 11 deaths and 439 new infections – as it happened,"With less than 48 hours until childcare attendance rates are set to plummet in Melbourne, providers say they need urgent clarity and support from the state and federal governments. From Thursday, only parents from “defined industries” will be allowed to send their children to childcare – but there has been no word on which families will qualify. Matilda Boseley has the story:"
Liberal senator says she has experienced issues with Victorian contact tracing,"The Victorian Liberal senator Sarah Henderson says she has personally experienced issues with the state’s contact tracing efforts. Today marks her 10th day of self-isolation at home because she had been in contact with a confirmed Covid-19 case. In an interview with Sky News this afternoon, Henderson said she had received a message the other day that contained the wrong date. She also said she had received two phone calls within the space of half an hour from contract tracers, indicating that there was a problem with the system that the first call may not have been logged. Henderson said, however, she had recently had a knock on the door from the state health department and Australian defence force, which was “very impressive to see”. “It’s absolutely imperative that Victorians do the right thing.”
Henderson said she had raised the issue of people in self-isolation being allowed out to exercise with her contact tracing team last week. Henderson said it was a case of confusing messaging"
Paul Keating says young people worse off than previous generations,"Earlier today, former prime minister Paul Keating had some choice words on the government’s decision to allow people to access their superannuation during the pandemic. He made the point that young people were already in a worse situation than previous generations because they had not had the benefit of a pay rise since 2013, were saddled with Hecs debts and had to pay GST and rent. Keating said: They lose all the compounding – the $20,000 would have multiplied itself by five and a half or six times over their lifetime, so it’s been a very poor choice to them. Now their pool of savings has been lost to them when in fact it should have been public support from the get-go."
Morrison to speak with PNG PM over Covid response,"Scott Morrison says he and his counterpart in Papua New Guinea will hold talks tomorrow to discuss the impacts of Covid-19 on the region. The talks come amid growing concerns about the potential for the Covid-19 outbreak to overwhelm PNG’s health system. The Australian government announced last week that it was sending an Ausmat medical team to PNG to help with the response. As of last week, PNG had reported 63 cases, with 52 of those – more than 80% – had been in the previous two weeks. In a statement issued a short time ago, Morrison said he would hold a virtual summit tomorrow with the prime minister of PNG, James Marape.
Morrison said the countries supported each other “as a family”, citing PNG’s provision of help with Australia’s bushfire recovery and Australia’s ongoing support to help PNG “overcome the shared challenge of the Covid-19 global pandemic”. Discussions during the virtual summit will focus on the impacts of Covid-19 on our region and strategies for economic recovery. "
